Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
GM12878-H1hESC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.205278158,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.205278158,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.204930176,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.204930176,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.20522833,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.205889168,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.428247743,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.339758085,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.295237434,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,2,1,7,1000,step,0.295853384,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.329647568,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.356129878,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.378006238,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.395971196,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.395131004,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.330143665,Model 2
GM12878-H1hESC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.19242569,Model 3
GM12878-H1hESC,Differential expression,Variance stabilization,2,1,7,10000,step,0.19242569,Model 3
GM12878-H1hESC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.196562515,Model 3
GM12878-H1hESC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.199803587,Model 3
GM12878-H1hESC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.252674176,Model 3
GM12878-H1hESC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.31346906,Model 3
GM12878-H1hESC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.366679948,Model 3
